episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
0,327.71,473.26,-145.55,389,1.0
1,799.50,846.64,-47.14,163,1.1
2,679.67,781.60,-101.93,276,1.4
3,-529.50,-523.41,-6.09,44,1.4
4,905.89,922.62,-16.73,90,1.5
5,-1111.63,-994.55,-117.08,356,1.8
6,513.89,620.78,-106.89,251,2.0
7,-509.90,-508.75,-1.15,15,2.0
8,-1927.33,-1466.35,-460.98,1000,2.9
9,-508.18,-507.08,-1.10,9,3.0
10,-1655.98,-1352.51,-303.47,618,3.5
11,124.18,317.10,-192.92,518,4.0
12,-821.77,-769.45,-52.32,223,4.2
13,-1286.16,-1086.77,-199.40,569,4.7
14,-565.18,-545.55,-19.64,117,4.8
15,956.56,970.02,-13.47,63,4.8
16,-1167.09,-1015.31,-151.78,405,5.2
17,-965.81,-870.35,-95.45,331,5.4
18,777.92,842.62,-64.70,135,5.5
19,-721.99,-649.63,-72.36,131,5.7
20,767.38,826.92,-59.54,167,5.8
21,-1167.55,-1006.07,-161.48,342,6.1
22,-323.70,-11.29,-312.41,794,6.7
23,-408.18,-91.87,-316.32,925,7.5
24,488.04,584.89,-96.86,402,7.8
25,476.67,608.78,-132.11,335,8.1
26,933.78,948.31,-14.54,89,8.2
27,842.35,884.62,-42.28,158,8.3
28,-902.41,-805.50,-96.91,286,8.6
29,-703.84,-656.28,-47.56,162,8.7
30,-2092.78,-1630.77,-462.01,1000,9.5
31,-579.42,-557.18,-22.24,110,9.6
32,-622.78,-585.01,-37.77,136,9.7
33,816.39,853.69,-37.30,152,9.8
34,716.52,761.72,-45.20,161,10.0
35,594.23,677.70,-83.47,223,10.2
36,-724.19,-684.36,-39.83,165,10.3
37,610.04,686.79,-76.75,228,10.5
38,435.34,565.59,-130.24,290,10.7
39,548.13,637.88,-89.75,240,10.9
40,-888.27,-477.35,-410.92,913,11.7
41,931.95,942.79,-10.85,59,11.7
42,-327.71,-18.47,-309.24,706,12.3
43,-722.86,-667.72,-55.14,234,12.5
44,232.61,401.16,-168.56,477,12.9
45,-127.10,122.64,-249.74,621,13.4
46,-591.16,-580.31,-10.86,59,13.5
47,-979.18,-863.67,-115.51,331,13.7
48,831.25,869.43,-38.17,147,13.9
49,-718.20,-672.29,-45.91,151,14.0
50,679.61,783.03,-103.42,253,14.2
51,-1349.34,-1189.98,-159.35,566,14.7
52,-2022.55,-1558.76,-463.78,1000,15.5
53,726.66,798.95,-72.30,134,15.6
54,-512.01,-510.07,-1.94,15,15.7
55,318.41,496.63,-178.21,384,16.0
56,86.73,274.52,-187.78,547,16.4
57,739.47,788.08,-48.61,158,16.6
