episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
0,-1675.45,-1350.51,-324.94,856,1.3
1,-1094.62,-755.33,-339.28,1000,1.9
2,-981.77,-889.62,-92.15,534,2.2
3,-518.63,-513.75,-4.89,23,2.2
4,-1066.11,-793.93,-272.18,1000,2.8
5,654.56,730.05,-75.50,157,2.9
6,-1799.46,-1529.10,-270.36,693,3.4
7,730.36,777.03,-46.67,188,3.5
8,-1525.97,-1309.19,-216.78,604,3.8
9,783.63,824.46,-40.83,170,4.0
10,-1374.69,-1205.96,-168.73,568,4.3
11,497.24,586.65,-89.41,291,4.5
12,943.95,962.38,-18.43,81,4.5
13,-1289.84,-1119.66,-170.18,717,5.0
14,-1251.89,-980.69,-271.20,1000,5.6
15,-1186.85,-799.48,-387.37,1000,6.2
16,-1322.14,-936.04,-386.11,1000,6.8
17,-583.89,-566.25,-17.64,56,6.9
18,-1521.90,-1182.08,-339.82,1000,7.5
19,116.75,305.22,-188.46,436,7.7
20,-1058.66,-907.35,-151.31,312,7.9
21,-505.64,-504.50,-1.14,6,7.9
22,-1093.98,-709.21,-384.77,1000,8.6
23,-1114.15,-968.42,-145.72,587,8.9
24,-850.12,-740.21,-109.92,355,9.1
25,-886.51,-780.28,-106.23,238,9.3
26,-503.39,-503.03,-0.36,4,9.3
27,-723.48,-678.48,-45.00,205,9.4
28,-949.67,-856.90,-92.77,398,9.6
29,79.11,240.71,-161.60,853,10.2
30,-1564.11,-1140.11,-424.00,1000,10.8
31,-911.24,-786.37,-124.87,284,11.0
32,-520.74,-514.93,-5.81,25,11.0
33,-557.39,-546.47,-10.92,39,11.0
34,-1564.06,-1204.16,-359.90,1000,11.6
35,-733.99,-677.15,-56.84,148,11.7
36,-816.75,-752.52,-64.22,220,11.8
37,-931.29,-824.71,-106.58,612,12.2
38,-567.52,-557.24,-10.28,94,12.3
39,-545.89,-540.85,-5.04,43,12.3
40,-765.07,-702.47,-62.60,206,12.4
41,-1042.99,-722.03,-320.96,1000,13.1
42,-1751.07,-1124.86,-626.21,1000,23.5
43,-141.75,-282.95,141.20,1000,33.8
44,-698.79,-512.20,-186.59,1000,44.2
45,-80.86,-213.82,132.96,1000,54.8
46,-699.93,-566.91,-133.01,1000,65.0
47,-1036.24,-860.84,-175.41,1000,75.4
48,-662.11,-508.57,-153.53,1000,85.5
49,-642.63,-515.59,-127.04,1000,95.8
50,-1250.23,-819.92,-430.31,1000,105.9
51,-927.73,-652.30,-275.42,1000,116.0
52,-1013.75,-658.55,-355.20,1000,126.2
53,-1100.24,-756.05,-344.18,1000,136.3
54,-1204.46,-905.33,-299.13,1000,146.7
55,-1169.19,-764.52,-404.66,1000,157.1
56,-1111.23,-811.79,-299.44,1000,167.7
57,-912.45,-658.09,-254.36,1000,178.0
58,-615.11,-504.18,-110.93,1000,188.2
59,117.16,388.26,-271.11,731,195.7
60,876.82,895.84,-19.02,77,196.4
61,-2476.06,-1901.42,-574.64,1000,206.8
62,-2225.36,-1711.00,-514.36,1000,217.1
63,-2084.89,-1633.45,-451.45,1000,227.6
64,-258.63,-3.89,-254.74,680,234.4
65,-2236.79,-1670.45,-566.34,1000,244.7
66,-514.37,-513.06,-1.31,12,244.8
67,-2354.40,-1771.43,-582.97,1000,255.2
68,-2298.39,-1731.91,-566.48,1000,265.5
69,-518.61,-515.86,-2.76,20,265.7
70,-544.38,-534.15,-10.23,50,266.2
71,-1768.77,-1320.75,-448.01,1000,276.3
72,360.78,586.00,-225.22,862,285.2
73,-507.47,-506.52,-0.95,8,285.3
74,-510.22,-508.86,-1.36,14,285.4
75,-509.26,-508.01,-1.26,11,285.5
76,-2296.57,-1689.22,-607.35,1000,295.8
77,-529.08,-523.89,-5.19,34,296.1
78,814.45,854.69,-40.24,171,297.9
79,961.17,974.94,-13.77,48,298.3
80,-2506.56,-1844.49,-662.06,1000,308.6
81,-2533.85,-1879.21,-654.64,1000,319.0
82,716.94,803.81,-86.88,311,322.1
83,-2586.86,-1864.49,-722.37,1000,332.6
84,-2749.97,-2107.49,-642.48,1000,343.0
85,-2165.17,-1562.85,-602.32,1000,353.2
86,-802.89,-560.02,-242.87,1000,363.5
87,-891.81,-628.50,-263.31,1000,373.8
88,-1026.99,-741.53,-285.46,1000,384.2
89,-1559.49,-1222.86,-336.63,1000,394.7
90,-510.05,-509.00,-1.05,10,394.8
91,-2197.28,-1705.85,-491.43,1000,405.0
92,-2375.29,-1816.23,-559.07,1000,415.1
93,942.15,964.58,-22.43,73,415.9
94,-1949.16,-1572.25,-376.91,1000,426.0
95,-2540.64,-1902.49,-638.15,1000,436.3
96,-2646.16,-2018.56,-627.59,1000,446.5
97,-1638.97,-1421.12,-217.84,1000,456.8
98,-2370.33,-1876.01,-494.32,1000,466.7
99,-2234.57,-1735.40,-499.17,1000,477.1
100,-2245.96,-1829.30,-416.66,1000,487.3
101,-2431.28,-1908.31,-522.97,1000,497.5
102,-2185.59,-1698.19,-487.40,1000,507.6
103,-2278.77,-1827.84,-450.94,1000,517.9
104,99.03,-576.24,675.27,1000,528.2
105,-2231.92,-1864.31,-367.60,1000,538.6
106,-1350.57,-1324.46,-26.12,1000,548.6
107,-1508.96,-1452.16,-56.80,1000,559.0
108,-1653.18,-1444.92,-208.27,1000,569.3
109,-2470.66,-1916.31,-554.34,1000,579.7
110,-1929.62,-1478.22,-451.39,1000,589.8
111,-1411.66,-1357.24,-54.42,1000,600.1
112,-1742.04,-1457.26,-284.78,1000,610.5
113,-1567.17,-982.07,-585.09,1000,620.5
114,-1800.53,-1327.53,-473.00,1000,630.7
115,-2101.89,-1699.21,-402.69,1000,641.1
116,-1760.10,-1516.75,-243.35,1000,651.5
117,-1850.20,-1598.18,-252.02,1000,662.0
118,-1453.12,-1270.47,-182.65,1000,672.4
119,-1716.67,-1455.27,-261.41,1000,682.8
120,-1640.42,-1145.82,-494.61,1000,693.2
121,-1627.50,-1034.13,-593.37,1000,703.7
122,-1304.03,-834.59,-469.44,1000,714.0
123,-1202.11,-824.98,-377.13,1000,724.3
124,-731.72,-657.12,-74.60,230,726.5
125,-2085.66,-1719.76,-365.91,1000,736.9
126,-2458.63,-1935.11,-523.52,1000,747.1
127,-2415.16,-1914.59,-500.57,1000,757.4
128,-507.08,-506.03,-1.05,6,757.5
129,-1225.51,-887.77,-337.74,1000,767.8
130,-1657.01,-1306.56,-350.44,1000,778.3
131,-704.32,-522.57,-181.75,1000,788.5
132,-2105.28,-1561.69,-543.59,1000,798.8
133,-1250.19,-801.32,-448.86,1000,809.0
134,-1325.00,-854.98,-470.02,1000,819.3
135,-1140.01,-747.63,-392.38,1000,829.3
136,-1107.75,-728.98,-378.76,1000,839.9
137,-1310.64,-823.21,-487.43,1000,850.1
138,-1442.85,-896.57,-546.28,1000,860.6
139,-1220.36,-806.07,-414.29,1000,870.8
140,-1114.03,-744.07,-369.96,1000,881.0
141,-1658.55,-1076.16,-582.39,1000,891.2
142,-1050.84,-693.70,-357.14,1000,901.2
143,-1073.62,-707.26,-366.36,1000,911.4
144,-927.83,-643.15,-284.69,1000,921.5
145,-1024.27,-754.79,-269.49,1000,931.8
146,-817.30,-603.72,-213.58,1000,941.9
147,-862.87,-612.53,-250.34,1000,952.1
148,-948.37,-642.36,-306.01,1000,962.4
