episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
0,824.90,875.72,-50.81,115,1.1
1,197.65,391.95,-194.30,448,2.4
2,-556.75,-542.13,-14.62,68,2.6
3,-633.64,-601.91,-31.73,133,3.0
4,-509.59,-508.04,-1.54,11,3.0
5,-513.62,-510.51,-3.11,14,3.1
6,-538.17,-251.27,-286.91,876,5.7
7,965.82,978.60,-12.78,42,5.8
8,-546.56,-533.65,-12.91,60,6.0
9,-531.08,-526.12,-4.96,30,6.1
10,739.94,805.40,-65.46,193,6.7
11,-856.25,-782.18,-74.07,222,7.4
12,-216.43,70.08,-286.51,632,9.3
13,698.49,751.30,-52.81,203,9.9
14,-1084.89,-943.26,-141.63,351,10.9
15,977.66,985.65,-7.99,29,11.0
16,-1439.37,-1235.46,-203.92,604,12.8
17,591.34,685.13,-93.79,245,13.6
18,-623.74,-602.77,-20.97,110,13.9
19,-729.78,-672.06,-57.73,149,14.3
20,-509.88,-508.80,-1.08,17,14.4
21,974.39,984.39,-10.00,28,14.5
22,57.55,223.95,-166.40,494,15.9
23,187.40,391.15,-203.76,447,17.3
24,-503.78,-503.53,-0.25,6,17.3
25,844.54,892.25,-47.71,135,17.7
26,340.08,474.59,-134.52,424,18.9
27,431.04,549.74,-118.71,305,19.8
28,-871.54,-803.65,-67.89,220,20.5
29,-191.91,65.17,-257.08,775,22.8
30,-31.40,196.22,-227.62,621,24.6
31,920.37,937.97,-17.60,87,24.9
32,-814.95,-738.11,-76.84,218,25.5
33,518.72,617.59,-98.88,317,26.4
34,-936.16,-849.59,-86.57,288,27.3
35,-513.36,-509.79,-3.57,17,27.4
36,-506.62,-505.35,-1.27,8,27.4
37,-1448.89,-1233.46,-215.43,604,29.2
38,476.73,611.35,-134.62,255,30.0
39,34.07,222.17,-188.10,634,31.8
40,-550.52,-540.39,-10.13,46,32.0
41,511.79,626.19,-114.40,351,33.0
42,-514.59,-511.45,-3.14,16,33.1
43,-812.22,-734.46,-77.76,211,33.7
44,-509.09,-506.88,-2.22,10,33.8
45,778.14,841.68,-63.54,128,34.1
46,484.02,595.50,-111.48,321,35.1
47,431.85,551.36,-119.51,312,36.0
48,464.58,596.27,-131.69,309,36.9
49,-507.89,-506.64,-1.24,13,36.9
50,-1157.87,-1012.48,-145.39,436,38.2
51,-566.43,-553.55,-12.89,43,38.3
52,-509.60,-507.68,-1.92,14,38.3
53,-512.86,-509.54,-3.32,14,38.4
54,68.88,295.77,-226.89,456,39.7
55,137.35,309.58,-172.22,548,41.3
56,909.40,932.33,-22.93,67,41.5
57,765.35,809.82,-44.46,216,42.1
58,715.82,778.00,-62.18,216,42.7
59,-528.98,-524.79,-4.19,39,42.8
60,201.08,381.79,-180.71,470,44.1
61,733.98,792.02,-58.04,188,44.7
62,-1204.23,-1045.46,-158.78,419,45.9
63,-655.51,-615.23,-40.27,111,46.2
64,-641.57,-611.29,-30.29,83,46.5
65,-618.51,-597.93,-20.58,101,46.8
66,739.40,814.39,-75.00,187,47.3
67,222.93,401.66,-178.73,449,48.6
68,-552.65,-535.42,-17.23,63,48.8
69,-556.74,-540.45,-16.29,76,49.0
70,755.01,798.06,-43.05,162,49.4
71,700.05,774.22,-74.17,177,50.0
72,-615.85,-592.07,-23.79,58,50.1
73,-1753.21,-1457.80,-295.41,654,52.0
74,-957.70,-850.88,-106.82,321,52.9
75,455.80,586.60,-130.80,250,53.6
76,-932.20,-828.36,-103.83,210,54.2
