episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
0,327.71,473.26,-145.55,389,1.2
1,799.50,846.64,-47.14,163,1.4
2,679.67,781.60,-101.93,276,1.8
3,-529.50,-523.41,-6.09,44,1.8
4,905.89,922.62,-16.73,90,1.9
5,-1111.63,-994.55,-117.08,356,2.4
6,513.89,620.78,-106.89,251,2.7
7,-509.90,-508.75,-1.15,15,2.8
8,-1927.33,-1466.35,-460.98,1000,4.4
9,-508.18,-507.08,-1.10,9,4.4
10,-1655.98,-1352.51,-303.47,618,5.7
11,124.18,317.10,-192.92,518,6.7
12,-821.77,-769.45,-52.32,223,7.2
13,-1286.16,-1086.77,-199.40,569,8.2
14,-565.18,-545.55,-19.64,117,8.4
15,956.56,970.02,-13.47,63,8.5
16,-1167.09,-1015.31,-151.78,405,9.3
17,-965.81,-870.35,-95.45,331,9.9
18,777.92,842.62,-64.70,135,10.2
19,-721.99,-649.63,-72.36,131,10.4
20,767.38,826.92,-59.54,167,10.8
21,-1167.55,-1006.07,-161.48,342,11.5
22,-323.70,-11.29,-312.41,794,13.0
23,-408.18,-91.87,-316.32,925,14.8
24,488.04,584.89,-96.86,402,15.5
25,476.67,608.78,-132.11,335,16.1
26,933.78,948.31,-14.54,89,16.3
27,842.35,884.62,-42.28,158,16.6
28,-902.41,-805.50,-96.91,286,17.2
29,-703.84,-656.28,-47.56,162,17.5
30,-2092.78,-1630.77,-462.01,1000,19.5
31,-579.42,-557.18,-22.24,110,19.7
32,-622.78,-585.01,-37.77,136,20.0
33,816.39,853.69,-37.30,152,20.3
34,716.52,761.72,-45.20,161,20.6
35,594.23,677.70,-83.47,223,21.0
36,-724.19,-684.36,-39.83,165,21.4
37,610.04,686.79,-76.75,228,21.8
38,435.34,565.59,-130.24,290,22.4
39,548.13,637.88,-89.75,240,22.9
40,-888.27,-477.35,-410.92,913,24.7
41,931.95,942.79,-10.85,59,24.8
42,-327.71,-18.47,-309.24,706,26.2
43,-722.86,-667.72,-55.14,234,26.7
44,232.61,401.16,-168.56,477,27.7
45,-127.10,122.64,-249.74,621,28.9
46,-591.16,-580.31,-10.86,59,29.0
47,-979.18,-863.67,-115.51,331,29.7
48,831.25,869.43,-38.17,147,29.9
49,-718.20,-672.29,-45.91,151,30.2
50,679.61,783.03,-103.42,253,30.7
51,-1349.34,-1189.98,-159.35,566,31.8
52,-2022.55,-1558.76,-463.78,1000,33.7
53,726.66,798.95,-72.30,134,34.0
54,-512.01,-510.07,-1.94,15,34.0
55,318.41,496.63,-178.21,384,34.7
56,86.73,274.52,-187.78,547,35.8
57,739.47,788.08,-48.61,158,36.1
58,-609.10,-593.07,-16.03,66,36.2
59,-1635.02,-1380.18,-254.83,705,37.6
60,695.06,748.65,-53.59,197,37.9
61,129.87,361.40,-231.52,573,47.8
62,-529.96,-520.88,-9.07,37,48.8
63,-1534.00,-1174.70,-359.30,1000,75.8
64,-542.81,-534.00,-8.80,42,77.0
65,-1321.01,-997.89,-323.11,1000,106.2
66,-1061.03,-977.55,-83.48,405,118.2
67,-581.88,-564.49,-17.39,89,120.7
68,642.25,735.62,-93.36,292,129.5
