episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
0,824.90,875.72,-50.81,115,0.8
1,197.65,391.95,-194.30,448,1.5
2,-556.75,-542.13,-14.62,68,1.7
3,-633.64,-601.91,-31.73,133,1.9
4,-509.59,-508.04,-1.54,11,1.9
5,-513.62,-510.51,-3.11,14,1.9
6,-538.17,-251.27,-286.91,876,3.3
7,965.82,978.60,-12.78,42,3.4
8,-546.56,-533.65,-12.91,60,3.5
9,-531.08,-526.12,-4.96,30,3.6
10,739.94,805.40,-65.46,193,3.9
11,-856.25,-782.18,-74.07,222,4.3
12,-216.43,70.08,-286.51,632,5.3
13,698.49,751.30,-52.81,203,5.6
14,-1084.89,-943.26,-141.63,351,6.2
15,977.66,985.65,-7.99,29,6.3
16,-1439.37,-1235.46,-203.92,604,7.3
17,591.34,685.13,-93.79,245,7.7
18,-623.74,-602.77,-20.97,110,7.9
19,-729.78,-672.06,-57.73,149,8.1
20,-509.88,-508.80,-1.08,17,8.1
21,974.39,984.39,-10.00,28,8.2
22,57.55,223.95,-166.40,494,9.0
23,187.40,391.15,-203.76,447,9.7
24,-503.78,-503.53,-0.25,6,9.7
25,844.54,892.25,-47.71,135,10.0
26,340.08,474.59,-134.52,424,10.7
27,431.04,549.74,-118.71,305,11.2
28,-871.54,-803.65,-67.89,220,11.5
29,-191.91,65.17,-257.08,775,12.8
30,-31.40,196.22,-227.62,621,13.8
31,920.37,937.97,-17.60,87,13.9
32,-814.95,-738.11,-76.84,218,14.3
33,518.72,617.59,-98.88,317,14.8
34,-936.16,-849.59,-86.57,288,15.3
35,-513.36,-509.79,-3.57,17,15.3
36,-506.62,-505.35,-1.27,8,15.3
37,-1448.89,-1233.46,-215.43,604,16.3
38,476.73,611.35,-134.62,255,16.7
39,34.07,222.17,-188.10,634,17.7
40,-550.52,-540.39,-10.13,46,17.8
41,511.79,626.19,-114.40,351,18.4
42,-514.59,-511.45,-3.14,16,18.4
43,-812.22,-734.46,-77.76,211,18.7
44,-509.09,-506.88,-2.22,10,18.8
45,778.14,841.68,-63.54,128,19.0
46,484.02,595.50,-111.48,321,19.5
47,431.85,551.36,-119.51,312,20.0
48,464.58,596.27,-131.69,309,20.5
49,-507.89,-506.64,-1.24,13,20.5
50,-1157.87,-1012.48,-145.39,436,21.2
51,-566.43,-553.55,-12.89,43,21.3
52,-509.60,-507.68,-1.92,14,21.3
53,-512.86,-509.54,-3.32,14,21.3
54,68.88,295.77,-226.89,456,22.1
55,137.35,309.58,-172.22,548,23.0
56,909.40,932.33,-22.93,67,23.1
57,765.35,809.82,-44.46,216,23.5
58,715.82,778.00,-62.18,216,23.8
59,-528.98,-524.79,-4.19,39,23.9
60,201.08,381.79,-180.71,470,24.6
61,733.98,792.02,-58.04,188,24.9
62,-1204.23,-1045.46,-158.78,419,25.6
63,-655.51,-615.23,-40.27,111,25.8
64,-641.57,-611.29,-30.29,83,26.0
65,-618.51,-597.93,-20.58,101,26.1
66,739.40,814.39,-75.00,187,26.4
67,222.93,401.66,-178.73,449,27.2
68,-552.65,-535.42,-17.23,63,27.3
69,-556.74,-540.45,-16.29,76,27.4
70,755.01,798.06,-43.05,162,27.6
71,700.05,774.22,-74.17,177,27.9
72,-615.85,-592.07,-23.79,58,28.0
73,-1753.21,-1457.80,-295.41,654,29.1
74,-957.70,-850.88,-106.82,321,29.7
75,455.80,586.60,-130.80,250,30.1
76,-932.20,-828.36,-103.83,210,30.4
77,-511.67,-509.19,-2.48,16,30.4
78,106.32,311.41,-205.09,470,31.2
79,-185.13,77.20,-262.33,746,32.4
80,-1387.83,-1009.76,-378.07,1000,46.8
81,-1881.95,-1423.15,-458.80,1000,79.8
82,-1524.33,-1232.03,-292.30,1000,112.7
83,-633.21,-594.47,-38.74,136,117.2
84,-584.58,-566.30,-18.28,103,120.5
85,419.34,635.42,-216.08,571,139.1
86,-1944.64,-1484.27,-460.36,1000,171.4
87,-2061.82,-1569.44,-492.38,1000,203.8
88,-289.99,25.03,-315.01,698,226.7
89,-536.93,-524.50,-12.44,41,228.0
90,-508.05,-506.30,-1.75,10,228.3
91,932.88,952.94,-20.07,87,231.2
92,-1626.69,-1298.67,-328.02,1000,263.9
93,-517.45,-515.23,-2.22,21,264.6
94,917.06,944.83,-27.77,119,268.6
95,-526.92,-519.52,-7.39,29,269.5
96,402.92,546.11,-143.19,412,282.8
97,425.18,543.70,-118.52,318,293.1
98,-643.18,-611.92,-31.26,115,296.9
99,134.94,311.06,-176.12,713,319.5
100,-506.37,-505.51,-0.87,5,319.6
101,-136.33,153.27,-289.60,677,341.7
102,-547.33,-541.27,-6.07,42,343.1
103,-168.97,124.70,-293.67,816,369.3
104,502.05,670.43,-168.38,408,382.5
105,-87.25,192.14,-279.40,577,401.3
106,647.64,723.29,-75.64,262,409.8
107,-541.95,-530.42,-11.54,37,411.0
108,-847.68,-762.91,-84.77,267,419.8
109,-515.15,-511.65,-3.50,21,420.4
110,-760.86,-693.93,-66.93,182,426.4
111,-1825.28,-1522.86,-302.42,862,454.6
112,-552.53,-542.46,-10.07,44,456.0
113,392.62,521.37,-128.75,427,469.7
114,736.33,807.13,-70.80,164,475.1
115,-541.50,-531.83,-9.67,31,476.1
116,339.73,522.26,-182.53,429,489.9
117,303.22,452.40,-149.18,580,508.6
118,-542.54,-535.17,-7.37,46,510.1
